Model,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
Decision Tree,ClusterCentroids (Fold 3),0.26711111111111113,0.008069145624606816,0.28,0.19767441860465115,0.85,0.32075471698113206,0.48273749999999993,170,110,690,30
Decision Tree,SMOTEENN (Fold 1),0.40788888888888886,0.020944960205851224,0.401,0.1858267716535433,0.59,0.28263473053892213,0.483165625,118,283,517,82
Decision Tree,RandomUnderSampler (Fold 4),0.48566666666666664,0.07136361420288888,0.54,0.17980295566502463,0.365,0.24092409240924093,0.478840625,73,467,333,127
Decision Tree,NearMiss (Fold 4),0.5447777777777778,0.020241138893444297,0.539,0.1761786600496278,0.355,0.23548922056384744,0.489234375,71,468,332,129
Decision Tree,ADASYN (Fold 3),0.7325555555555556,0.012993825694261073,0.757,0.2736842105263158,0.13,0.17627118644067796,0.550034375,26,731,69,174
Decision Tree,ADASYN + Tomek (Fold 3),0.7323333333333333,0.013120523928111551,0.76,0.26744186046511625,0.115,0.16083916083916083,0.533484375,23,737,63,177
Decision Tree,SMOTETomek (Fold 5),0.729111111111111,0.013942562954076811,0.758,0.21621621621621623,0.08,0.11678832116788321,0.53410625,16,742,58,184
Decision Tree,SMOTE (Fold 5),0.7373333333333333,0.008884721245201692,0.756,0.20270270270270271,0.075,0.10948905109489052,0.53336875,15,741,59,185
Decision Tree,Borderline-2 + Tomek (Fold 2),0.7284444444444446,0.018906527711969132,0.754,0.19736842105263158,0.075,0.10869565217391304,0.49153125,15,739,61,185
Decision Tree,Baseline (Fold 1),0.7702222222222221,0.007718824192425958,0.788,0.34210526315789475,0.065,0.1092436974789916,0.5137937499999999,13,775,25,187
