Model,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
DNN,SMOTEENN (Fold 2),0.20022222697734832,0.00027216770076806914,0.2,0.2,1.0,0.3333333333333333,0.47865625,200,0,800,0
DNN,SMOTE (Fold 5),0.5050000071525573,0.07435068449377243,0.56,0.19696969696969696,0.39,0.26174496644295303,0.49100625,78,482,318,122
DNN,ADASYN + Tomek (Fold 3),0.5408888936042786,0.08172039196211935,0.608,0.19811320754716982,0.315,0.24324324324324326,0.49955625000000003,63,545,255,137
DNN,Borderline-2 + Tomek (Fold 1),0.5017777681350708,0.08471621965472599,0.579,0.17971014492753623,0.31,0.22752293577981653,0.46734687500000005,62,517,283,138
DNN,SMOTETomek (Fold 1),0.5632222175598145,0.06297402446673071,0.615,0.19672131147540983,0.3,0.2376237623762376,0.49950625000000004,60,555,245,140
DNN,ADASYN (Fold 1),0.5315555691719055,0.10321223535962824,0.619,0.17328519855595667,0.24,0.20125786163522014,0.4925562499999999,48,571,229,152
DNN,NearMiss (Fold 2),0.6528888821601868,0.06457783176602575,0.752,0.24468085106382978,0.115,0.1564625850340136,0.51280625,23,729,71,177
DNN,RandomUnderSampler (Fold 4),0.5643333196640015,0.09330382768617872,0.698,0.13043478260869565,0.09,0.10650887573964497,0.47531875,18,680,120,182
DNN,ClusterCentroids (Fold 1),0.6713333368301392,0.07501160122850063,0.751,0.09836065573770492,0.03,0.04597701149425287,0.484375,6,745,55,194
DNN,None (Baseline),0.800000011920929,0.0,0.8,0.0,0.0,0.0,0.48458437500000007,0,800,0,200
