Model,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
Logistic Regression,SMOTEENN (Fold 1),0.2,0.0,0.2,0.2,1.0,0.3333333333333333,0.4991312499999999,200,0,800,0
Logistic Regression,NearMiss (Fold 5),0.49511111111111117,0.009083970415986542,0.52,0.21193415637860083,0.515,0.30029154518950435,0.51610625,103,417,383,97
Logistic Regression,ADASYN (Fold 2),0.49011111111111105,0.010149499774817097,0.517,0.19700214132762311,0.46,0.27586206896551724,0.49250625,92,425,375,108
Logistic Regression,ADASYN + Tomek (Fold 2),0.4913333333333333,0.010890022616716299,0.519,0.1978494623655914,0.46,0.27669172932330827,0.49312500000000004,92,427,373,108
Logistic Regression,RandomUnderSampler (Fold 3),0.4963333333333334,0.008858280634664324,0.485,0.18181818181818182,0.45,0.2589928057553957,0.46573125,90,395,405,110
Logistic Regression,Borderline-2 + Tomek (Fold 1),0.5265555555555556,0.009859506911768434,0.541,0.2036613272311213,0.445,0.2794348508634223,0.5043187499999999,89,452,348,111
Logistic Regression,SMOTE (Fold 3),0.5117777777777779,0.00914492370824543,0.498,0.18277310924369747,0.435,0.257396449704142,0.462625,87,411,389,113
Logistic Regression,SMOTETomek (Fold 3),0.5115555555555555,0.00962507014564788,0.498,0.18277310924369747,0.435,0.257396449704142,0.46306875000000003,87,411,389,113
Logistic Regression,ClusterCentroids (Fold 2),0.5075555555555555,0.005639367795755343,0.519,0.188470066518847,0.425,0.261136712749616,0.49275625,85,434,366,115
Logistic Regression,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.5150250000000001,0,800,0,200
