Model,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN,Specificity,Balanced_Acc,Support_Pos,Support_Neg,CV_Precision_Mean,CV_Precision_Std,CV_Recall_Mean,CV_Recall_Std,CV_F1_Mean,CV_F1_Std,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,CV_PR_AUC_Mean,CV_PR_AUC_Std
Logistic Regression,SMOTEENN (Fold 1),0.2,0.0,0.2,0.2,1.0,0.3333333333333333,0.4991312499999999,200,0,800,0,0.0,0.5,200.0,800.0,0.2,0.0,1.0,0.0,0.3333333333333333,0.0,0.48923148148148154,0.015880521590010604,0.19729149804784127,0.008496624878219502
Logistic Regression,NearMiss (Fold 5),0.49511111111111117,0.009083970415986542,0.52,0.21193415637860083,0.515,0.30029154518950435,0.51610625,103,417,383,97,0.52125,0.518125,200.0,800.0,0.19894686968445335,0.007798652675975214,0.5038888888888888,0.024944382578492942,0.2852371744722229,0.01177799020649345,0.5022893518518519,0.009619033274477088,0.2049395389631604,0.005107451391633829
Logistic Regression,ADASYN (Fold 2),0.49011111111111105,0.010149499774817097,0.517,0.19700214132762311,0.46,0.27586206896551724,0.49250625,92,425,375,108,0.53125,0.495625,200.0,800.0,0.19574490872038394,0.005630474232072218,0.4988888888888889,0.028631330503833614,0.2810884641200069,0.009956624028322814,0.4944583333333334,0.016363558401156178,0.19754257037098336,0.008559262633953194
Logistic Regression,ADASYN + Tomek (Fold 2),0.4913333333333333,0.010890022616716299,0.519,0.1978494623655914,0.46,0.27669172932330827,0.49312500000000004,92,427,373,108,0.53375,0.49687499999999996,200.0,800.0,0.19597012328826285,0.006002927307598028,0.49777777777777776,0.028185890875479593,0.28114360530791693,0.010160451562563021,0.49454320987654327,0.016337780027359087,0.1975314498695661,0.008513013500610516
Logistic Regression,RandomUnderSampler (Fold 3),0.4963333333333334,0.008858280634664324,0.485,0.18181818181818182,0.45,0.2589928057553957,0.46573125,90,395,405,110,0.49375,0.47187500000000004,200.0,800.0,0.199011150840429,0.009245185367756951,0.5022222222222222,0.028076175041096166,0.2850429843313007,0.013847681735525695,0.4959378858024691,0.013011015354304033,0.1995296971473129,0.010453418997549882
Logistic Regression,Borderline-2 + Tomek (Fold 1),0.5265555555555556,0.009859506911768434,0.541,0.2036613272311213,0.445,0.2794348508634223,0.5043187499999999,89,452,348,111,0.565,0.505,200.0,800.0,0.19605361640741142,0.009739673185273814,0.4411111111111111,0.02590342939305504,0.2714210526642647,0.013931938133731402,0.49619945987654324,0.013567128466714769,0.2001771959981955,0.0061769371147684
Logistic Regression,SMOTE (Fold 3),0.5117777777777779,0.00914492370824543,0.498,0.18277310924369747,0.435,0.257396449704142,0.462625,87,411,389,113,0.51375,0.474375,200.0,800.0,0.20036730959949245,0.009822468010015864,0.4822222222222223,0.029741686254053715,0.2830714711101311,0.01476143377329728,0.49403047839506176,0.01792114335999692,0.19883909005913228,0.008040470281433365
Logistic Regression,SMOTETomek (Fold 3),0.5115555555555555,0.00962507014564788,0.498,0.18277310924369747,0.435,0.257396449704142,0.46306875000000003,87,411,389,113,0.51375,0.474375,200.0,800.0,0.199863146097563,0.010080470189124266,0.4805555555555555,0.03017439025333393,0.2822797305094841,0.01508104234456967,0.49405401234567903,0.018002587541741485,0.19886583775725292,0.008134919086443959
Logistic Regression,ClusterCentroids (Fold 2),0.5075555555555555,0.005639367795755343,0.519,0.188470066518847,0.425,0.261136712749616,0.49275625,85,434,366,115,0.5425,0.48375,200.0,800.0,0.1997688785820865,0.009130351043282534,0.48722222222222217,0.03261257804764261,0.28331760195596833,0.014624315666047986,0.49461882716049377,0.015244622051816297,0.19897197645249437,0.008021687017457821
Logistic Regression,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.5150250000000001,0,800,0,200,1.0,0.5,200.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4960297067901235,0.014209825269684326,0.1980776713414097,0.008054371608066761
