Model,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
ResNet,SMOTEENN (Fold 2),0.3426666647195816,0.10863427983695886,0.476,0.2032967032967033,0.555,0.2975871313672922,0.50355625,111,365,435,89
ResNet,ClusterCentroids (Fold 5),0.4187777817249298,0.026875109100560464,0.46,0.19202898550724637,0.53,0.28191489361702127,0.50653125,106,354,446,94
ResNet,NearMiss (Fold 5),0.4831111073493958,0.0506776230321051,0.567,0.20654911838790932,0.41,0.2747068676716918,0.51820625,82,485,315,118
ResNet,Borderline2 + Tomek (Fold 2),0.6083333373069764,0.017238336745767174,0.621,0.20066889632107024,0.3,0.24048096192384769,0.522025,60,561,239,140
ResNet,RandomUnderSampler (Fold 2),0.5990000009536743,0.029517521239715287,0.621,0.19243986254295534,0.28,0.22810590631364563,0.489221875,56,565,235,144
ResNet,SMOTETomek (Fold 2),0.6402222275733948,0.023274000813586555,0.661,0.20425531914893616,0.24,0.2206896551724138,0.48896249999999997,48,613,187,152
ResNet,ADASYN (Fold 3),0.6437777757644654,0.005820349170561429,0.65,0.19008264462809918,0.23,0.2081447963800905,0.46506875000000003,46,604,196,154
ResNet,SMOTE (Fold 1),0.6550000071525574,0.0188463643218613,0.681,0.20689655172413793,0.21,0.20843672456575682,0.49629375,42,639,161,158
ResNet,ADASYN + Tomek (Fold 5),0.6553333401679993,0.020522791410733293,0.654,0.1826086956521739,0.21,0.19534883720930232,0.485475,42,612,188,158
ResNet,None (Baseline),0.800000011920929,0.0,0.8,0.0,0.0,0.0,0.49476250000000005,0,800,0,200
