Model,Split,Technique,Cross-Validation Accuracies +- std,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test ROC-AUC,TP,TN,FP,FN
Decision Tree,80:20,Baseline,0.7629 ± 0.0089,0.77,0.1939,0.0475,0.0763,0.4952,19,1521,79,381
Decision Tree,80:20,SMOTE,0.7105 ± 0.0323,0.6995,0.1927,0.1575,0.1733,0.4908,63,1336,264,337
Decision Tree,80:20,ADASYN,0.7286 ± 0.0128,0.726,0.2176,0.1425,0.1722,0.4988,57,1395,205,343
Decision Tree,80:20,RandomUnderSampler,0.5019 ± 0.0318,0.53,0.2059,0.4725,0.2868,0.5195,189,871,729,211
Decision Tree,80:20,SMOTETomek,0.7095 ± 0.0351,0.7005,0.1895,0.1525,0.169,0.4855,61,1340,260,339
Decision Tree,80:20,SMOTEENN,0.6698 ± 0.0275,0.6555,0.2163,0.2525,0.233,0.5164,101,1210,390,299
Decision Tree,80:20,NearMiss,0.5034 ± 0.0315,0.53,0.2059,0.4725,0.2868,0.5195,189,871,729,211
Decision Tree,80:20,ClusterCentroids,0.5019 ± 0.0318,0.53,0.2059,0.4725,0.2868,0.5195,189,871,729,211
Decision Tree,80:20,ADASYN+Tomek,0.7286 ± 0.0128,0.726,0.2176,0.1425,0.1722,0.4988,57,1395,205,343
Decision Tree,80:20,Borderline+Tomek,0.7051 ± 0.0298,0.7135,0.1916,0.1375,0.1601,0.4883,55,1372,228,345
Decision Tree,90:10,Baseline,0.7684 ± 0.0076,0.778,0.3478,0.08,0.1301,0.5127,16,762,30,184
Decision Tree,90:10,SMOTE,0.7063 ± 0.0215,0.71,0.2618,0.25,0.2558,0.5352,50,660,140,150
Decision Tree,90:10,ADASYN,0.7208 ± 0.0195,0.701,0.2174,0.2,0.2083,0.5106,40,661,139,160
Decision Tree,90:10,RandomUnderSampler,0.5110 ± 0.0305,0.536,0.2155,0.5,0.2974,0.5513,100,436,364,100
Decision Tree,90:10,SMOTETomek,0.7076 ± 0.0163,0.703,0.2304,0.215,0.2224,0.5175,43,660,140,157
Decision Tree,90:10,SMOTEENN,0.6697 ± 0.0355,0.672,0.2464,0.335,0.2839,0.5439,67,605,195,133
Decision Tree,90:10,NearMiss,0.5128 ± 0.0299,0.536,0.2155,0.5,0.2974,0.5513,100,436,364,100
Decision Tree,90:10,ClusterCentroids,0.5110 ± 0.0305,0.536,0.2155,0.5,0.2974,0.5513,100,436,364,100
Decision Tree,90:10,ADASYN+Tomek,0.7208 ± 0.0195,0.701,0.2174,0.2,0.2083,0.5106,40,661,139,160
Decision Tree,90:10,Borderline+Tomek,0.7037 ± 0.0211,0.701,0.2449,0.24,0.2424,0.5258,48,653,147,152
DNN,80:20,Baseline,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.5054,0,1600,0,400
DNN,80:20,SMOTE,0.6094 ± 0.1706,0.5365,0.2023,0.445,0.2781,0.5235,178,895,705,222
DNN,80:20,ADASYN,0.5986 ± 0.1293,0.6005,0.2241,0.3675,0.2784,0.5298,147,1054,546,253
DNN,80:20,RandomUnderSampler,0.5518 ± 0.0381,0.5595,0.2065,0.415,0.2758,0.5098,166,953,647,234
DNN,80:20,SMOTETomek,0.5843 ± 0.0963,0.548,0.2083,0.45,0.2797,0.5284,180,916,684,220
DNN,80:20,SMOTEENN,0.5739 ± 0.1192,0.456,0.1904,0.5075,0.2769,0.5085,203,709,891,197
DNN,80:20,NearMiss,0.5876 ± 0.1179,0.7935,0.2593,0.0175,0.0328,0.5075,7,1580,20,393
DNN,80:20,ClusterCentroids,0.6800 ± 0.0362,0.7565,0.152,0.0475,0.0724,0.5028,19,1494,106,381
DNN,80:20,ADASYN+Tomek,0.5122 ± 0.0884,0.6815,0.1985,0.195,0.1967,0.5031,78,1285,315,322
DNN,80:20,Borderline+Tomek,0.4971 ± 0.0763,0.6855,0.2145,0.215,0.2147,0.5019,86,1285,315,314
DNN,90:10,Baseline,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.505,0,800,0,200
DNN,90:10,SMOTE,0.6729 ± 0.1706,0.697,0.2727,0.195,0.2274,0.5135,39,658,142,161
DNN,90:10,ADASYN,0.6868 ± 0.0898,0.716,0.2989,0.26,0.2781,0.5283,52,664,136,148
DNN,90:10,RandomUnderSampler,0.5369 ± 0.0406,0.562,0.2081,0.385,0.2702,0.5052,77,485,315,123
DNN,90:10,SMOTETomek,0.6394 ± 0.134,0.545,0.2148,0.48,0.2968,0.5202,96,449,351,104
DNN,90:10,SMOTEENN,0.6143 ± 0.1345,0.545,0.2173,0.49,0.2965,0.5241,98,447,353,102
DNN,90:10,NearMiss,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.5218,0,800,0,200
DNN,90:10,ClusterCentroids,0.5498 ± 0.0548,0.676,0.1771,0.17,0.1735,0.4862,34,642,158,166
DNN,90:10,ADASYN+Tomek,0.5043 ± 0.0709,0.692,0.2158,0.205,0.2103,0.5069,41,651,149,159
DNN,90:10,Borderline+Tomek,0.6850 ± 0.0476,0.669,0.1866,0.195,0.1907,0.4741,39,630,170,161
Logistic Regression,80:20,Baseline,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.4677,0,1600,0,400
Logistic Regression,80:20,SMOTE,0.5170 ± 0.0076,0.506,0.1797,0.4125,0.2504,0.4673,165,847,753,235
Logistic Regression,80:20,ADASYN,0.5046 ± 0.009,0.4995,0.182,0.43,0.2558,0.4712,172,827,773,228
Logistic Regression,80:20,RandomUnderSampler,0.5035 ± 0.0071,0.498,0.1848,0.4425,0.2607,0.4648,177,819,781,223
Logistic Regression,80:20,SMOTETomek,0.5164 ± 0.0072,0.506,0.1797,0.4125,0.2504,0.4671,165,847,753,235
