Model,Sampling,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,Feature_Selection
Logistic Regression,SMOTEENN (Fold 5),0.201,0.198995,0.99,0.331381,0.498606,FS_LR
Logistic Regression,NearMiss (Fold 2),0.493,0.210923,0.56,0.30643,0.528256,FS_LR
Logistic Regression,ADASYN (Fold 3),0.512,0.202479,0.49,0.28655,0.493912,FS_LR
Logistic Regression,RandomUnderSampler (Fold 2),0.494,0.194,0.485,0.277143,0.478975,FS_LR
Logistic Regression,SMOTETomek (Fold 3),0.531,0.205689,0.47,0.286149,0.49865,FS_LR
Logistic Regression,SMOTE (Fold 1),0.525,0.201735,0.465,0.281392,0.4868,FS_LR
Logistic Regression,ClusterCentroids (Fold 2),0.525,0.200436,0.46,0.279211,0.4943,FS_LR
Logistic Regression,ADASYN + Tomek (Fold 3),0.55,0.210648,0.455,0.287975,0.492987,FS_LR
Logistic Regression,Borderline-2 + Tomek (Fold 3),0.56,0.198492,0.395,0.264214,0.4886,FS_LR
Logistic Regression,None (Baseline),0.8,0.0,0.0,0.0,0.491137,FS_LR
Decision Tree,SMOTEENN (Fold 2),0.472,0.207143,0.58,0.305263,0.523741,FS_LR
Decision Tree,Borderline-2 + Tomek (Fold 4),0.56,0.212919,0.445,0.288026,0.521459,FS_LR
Decision Tree,NearMiss (Fold 5),0.624,0.231707,0.38,0.287879,0.512559,FS_LR
Decision Tree,ClusterCentroids (Fold 3),0.601,0.216524,0.38,0.275862,0.527219,FS_LR
Decision Tree,RandomUnderSampler (Fold 3),0.577,0.196185,0.36,0.253968,0.490478,FS_LR
Decision Tree,ADASYN + Tomek (Fold 3),0.605,0.192429,0.305,0.235977,0.510506,FS_LR
Decision Tree,ADASYN (Fold 4),0.685,0.246696,0.28,0.262295,0.537431,FS_LR
Decision Tree,SMOTETomek (Fold 2),0.694,0.235,0.235,0.235,0.539559,FS_LR
Decision Tree,SMOTE (Fold 2),0.69,0.227723,0.23,0.228856,0.529984,FS_LR
Decision Tree,Baseline (Fold 1),0.777,0.219512,0.045,0.074689,0.505269,FS_LR
Random Forest,None (Baseline),0.8,0.0,0.0,0.0,0.537163,FS_LR
Random Forest,SMOTE (Fold 4),0.754,0.255319,0.12,0.163265,0.522212,FS_LR
Random Forest,ADASYN (Fold 4),0.749,0.257143,0.135,0.177049,0.530063,FS_LR
Random Forest,RandomUnderSampler (Fold 5),0.528,0.210638,0.495,0.295522,0.488147,FS_LR
Random Forest,SMOTETomek,0.744,0.202128,0.095,0.129252,0.528803,FS_LR
Random Forest,SMOTEENN,0.574,0.210256,0.41,0.277966,0.519769,FS_LR
Random Forest,NearMiss (Fold 1),0.382,0.208101,0.745,0.325328,0.517888,FS_LR
Random Forest,ClusterCentroids,0.432,0.213396,0.685,0.325416,0.532784,FS_LR
Random Forest,ADASYN+Tomek,0.754,0.27,0.135,0.18,0.528025,FS_LR
Random Forest,BorderlineSMOTE+Tomek,0.758,0.243902,0.1,0.141844,0.506788,FS_LR
XGBoost,None (Baseline),0.798,0.25,0.005,0.009804,0.497025,FS_LR
XGBoost,SMOTE,0.749,0.296,0.185,0.227692,0.548037,FS_LR
XGBoost,ADASYN,0.737,0.221239,0.125,0.159744,0.534956,FS_LR
XGBoost,RandomUnderSampler,0.486,0.198077,0.515,0.286111,0.487187,FS_LR
XGBoost,ClusterCentroids,0.35,0.200798,0.755,0.317227,0.502613,FS_LR
XGBoost,SMOTETomek,0.732,0.230159,0.145,0.177914,0.514281,FS_LR
XGBoost,SMOTEENN,0.508,0.211462,0.535,0.303116,0.523481,FS_LR
XGBoost,NearMiss,0.387,0.211189,0.755,0.330055,0.513113,FS_LR
XGBoost,ADASYN+Tomek,0.747,0.242718,0.125,0.165017,0.542006,FS_LR
XGBoost,Borderline+Tomek,0.682,0.219048,0.23,0.22439,0.52545,FS_LR
MLP,None (Baseline),0.8,0.0,0.0,0.0,0.498769,FS_LR
MLP,SMOTE,0.583,0.210667,0.395,0.274783,0.517388,FS_LR
MLP,ADASYN,0.522,0.211618,0.51,0.29912,0.526263,FS_LR
MLP,RandomUnderSampler,0.797,0.285714,0.01,0.019324,0.537781,FS_LR
MLP,SMOTETomek,0.545,0.19715,0.415,0.267311,0.507844,FS_LR
MLP,SMOTEENN,0.228,0.202083,0.97,0.334483,0.49895,FS_LR
MLP,NearMiss,0.479,0.211849,0.59,0.311757,0.518012,FS_LR
MLP,ClusterCentroids,0.785,0.142857,0.015,0.027149,0.470175,FS_LR
MLP,ADASYN+Tomek,0.795,0.0,0.0,0.0,0.504325,FS_LR
MLP,Borderline+Tomek,0.653,0.214008,0.275,0.2407,0.508687,FS_LR
DNN,SMOTEENN (Fold 3),0.278,0.201373,0.88,0.327747,0.491881,FS_LR
DNN,SMOTETomek (Fold 3),0.557,0.184416,0.355,0.242735,0.495781,FS_LR
DNN,SMOTE (Fold 1),0.589,0.195965,0.34,0.248629,0.496119,FS_LR
DNN,ADASYN + Tomek (Fold 3),0.606,0.202454,0.33,0.250951,0.511075,FS_LR
DNN,ADASYN (Fold 3),0.642,0.221831,0.315,0.260331,0.529037,FS_LR
DNN,ClusterCentroids (Fold 2),0.668,0.179612,0.185,0.182266,0.499769,FS_LR
DNN,Borderline-2 + Tomek (Fold 4),0.723,0.234483,0.17,0.197101,0.524481,FS_LR
DNN,RandomUnderSampler (Fold 3),0.755,0.228916,0.095,0.134276,0.526356,FS_LR
DNN,NearMiss (Fold 2),0.729,0.15534,0.08,0.105611,0.486291,FS_LR
DNN,None (Baseline),0.8,0.0,0.0,0.0,0.477641,FS_LR
ResNet,SMOTEENN (Fold 1),0.392,0.195522,0.655,0.301149,0.486219,FS_LR
ResNet,NearMiss (Fold 4),0.554,0.195545,0.395,0.261589,0.508569,FS_LR
ResNet,RandomUnderSampler (Fold 2),0.57,0.19086,0.355,0.248252,0.493837,FS_LR
ResNet,Borderline2 + Tomek (Fold 5),0.637,0.229236,0.345,0.275449,0.523219,FS_LR
ResNet,SMOTETomek (Fold 1),0.613,0.197411,0.305,0.239686,0.510613,FS_LR
ResNet,SMOTE (Fold 1),0.61,0.193548,0.3,0.235294,0.49555,FS_LR
ResNet,ADASYN (Fold 4),0.639,0.21147,0.295,0.246347,0.527088,FS_LR
ResNet,ClusterCentroids (Fold 2),0.637,0.172691,0.215,0.191537,0.456069,FS_LR
ResNet,ADASYN + Tomek (Fold 4),0.705,0.167832,0.12,0.139942,0.498878,FS_LR
ResNet,None (Baseline),0.8,0.0,0.0,0.0,0.511919,FS_LR
TabNet,None (Baseline),0.8,0.0,0.0,0.0,0.490231,FS_LR
TabNet,SMOTE,0.626,0.182482,0.25,0.21097,0.487213,FS_LR
TabNet,ADASYN,0.619,0.184669,0.265,0.217659,0.507625,FS_LR
TabNet,RandomUnderSampler,0.634,0.168,0.21,0.186667,0.453756,FS_LR
TabNet,SMOTETomek,0.653,0.202429,0.25,0.223714,0.484506,FS_LR
TabNet,SMOTEENN,0.323,0.203727,0.82,0.326368,0.51085,FS_LR
TabNet,NearMiss,0.35,0.207792,0.8,0.329897,0.546406,FS_LR
TabNet,ClusterCentroids,0.488,0.17364,0.415,0.244838,0.44225,FS_LR
TabNet,ADASYN+Tomek,0.662,0.2125,0.255,0.231818,0.525194,FS_LR
TabNet,Borderline+Tomek,0.568,0.188172,0.35,0.244755,0.481456,FS_LR
Logistic Regression,SMOTEENN (Fold 1),0.2,0.2,1.0,0.333333,0.515575,FS_RF
Logistic Regression,ADASYN (Fold 1),0.483,0.204842,0.55,0.298507,0.50595,FS_RF
Logistic Regression,NearMiss (Fold 2),0.501,0.207436,0.53,0.298172,0.506119,FS_RF
Logistic Regression,ADASYN + Tomek (Fold 1),0.497,0.201183,0.51,0.288543,0.503806,FS_RF
Logistic Regression,RandomUnderSampler (Fold 1),0.529,0.204793,0.47,0.285281,0.5118,FS_RF
Logistic Regression,ClusterCentroids (Fold 5),0.514,0.193133,0.45,0.27027,0.490263,FS_RF
Logistic Regression,SMOTETomek (Fold 1),0.518,0.188053,0.425,0.260736,0.493225,FS_RF
Logistic Regression,SMOTE (Fold 1),0.517,0.186253,0.42,0.258065,0.493038,FS_RF
Logistic Regression,Borderline-2 + Tomek (Fold 2),0.552,0.200483,0.415,0.270358,0.493206,FS_RF
Logistic Regression,None (Baseline),0.8,0.0,0.0,0.0,0.5124,FS_RF
Decision Tree,Borderline-2 + Tomek (Fold 4),0.326,0.198473,0.78,0.31643,0.494238,FS_RF
Decision Tree,SMOTEENN (Fold 5),0.326,0.187335,0.71,0.296451,0.446997,FS_RF
