Model,Split,Feature_Selection,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
Decision Tree,80:20,Baseline,ClusterCentroids (Fold 1),0.2665,0.012928,0.277,0.203851,0.9,0.33241,0.522093,360.0,194.0,1406.0,40.0
Decision Tree,80:20,Baseline,SMOTEENN (Fold 2),0.402125,0.008483,0.4035,0.195702,0.6375,0.299472,0.485563,255.0,552.0,1048.0,145.0
Decision Tree,80:20,Baseline,RandomUnderSampler (Fold 3),0.501875,0.031835,0.5415,0.192628,0.405,0.26108,0.493742,162.0,921.0,679.0,238.0
Decision Tree,80:20,Baseline,NearMiss (Fold 4),0.555625,0.014727,0.5655,0.20354,0.4025,0.270361,0.508203,161.0,970.0,630.0,239.0
Decision Tree,80:20,Baseline,SMOTE (Fold 5),0.7105,0.032335,0.7305,0.223108,0.14,0.172043,0.508695,56.0,1405.0,195.0,344.0
Decision Tree,80:20,Baseline,SMOTETomek (Fold 2),0.71425,0.031411,0.736,0.219298,0.125,0.159236,0.485983,50.0,1422.0,178.0,350.0
Decision Tree,80:20,Baseline,ADASYN (Fold 3),0.728625,0.012781,0.738,0.193069,0.0975,0.129568,0.492916,39.0,1437.0,163.0,361.0
Decision Tree,80:20,Baseline,ADASYN + Tomek (Fold 3),0.732125,0.011757,0.738,0.193069,0.0975,0.129568,0.492916,39.0,1437.0,163.0,361.0
Decision Tree,80:20,Baseline,Borderline-2 + Tomek (Fold 4),0.716625,0.010455,0.744,0.202128,0.095,0.129252,0.484012,38.0,1450.0,150.0,362.0
Decision Tree,80:20,Baseline,Baseline (Fold 4),0.762875,0.00895,0.775,0.162162,0.03,0.050633,0.491369,12.0,1538.0,62.0,388.0
Decision Tree,90:10,Baseline,ClusterCentroids (Fold 3),0.267111,0.008069,0.28,0.197674,0.85,0.320755,0.482737,170.0,110.0,690.0,30.0
Decision Tree,90:10,Baseline,SMOTEENN (Fold 1),0.407889,0.020945,0.401,0.185827,0.59,0.282635,0.483166,118.0,283.0,517.0,82.0
Decision Tree,90:10,Baseline,RandomUnderSampler (Fold 4),0.485667,0.071364,0.54,0.179803,0.365,0.240924,0.478841,73.0,467.0,333.0,127.0
Decision Tree,90:10,Baseline,NearMiss (Fold 4),0.544778,0.020241,0.539,0.176179,0.355,0.235489,0.489234,71.0,468.0,332.0,129.0
Decision Tree,90:10,Baseline,ADASYN (Fold 3),0.732556,0.012994,0.757,0.273684,0.13,0.176271,0.550034,26.0,731.0,69.0,174.0
Decision Tree,90:10,Baseline,ADASYN + Tomek (Fold 3),0.732333,0.013121,0.76,0.267442,0.115,0.160839,0.533484,23.0,737.0,63.0,177.0
Decision Tree,90:10,Baseline,SMOTETomek (Fold 5),0.729111,0.013943,0.758,0.216216,0.08,0.116788,0.534106,16.0,742.0,58.0,184.0
Decision Tree,90:10,Baseline,SMOTE (Fold 5),0.737333,0.008885,0.756,0.202703,0.075,0.109489,0.533369,15.0,741.0,59.0,185.0
Decision Tree,90:10,Baseline,Borderline-2 + Tomek (Fold 2),0.728444,0.018907,0.754,0.197368,0.075,0.108696,0.491531,15.0,739.0,61.0,185.0
