Model,Split,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
Decision Tree,80:20,ClusterCentroids (Fold 1),0.2665,0.012928,0.277,0.203851,0.9,0.33241,0.522093,360,194,1406,40
Decision Tree,80:20,SMOTEENN (Fold 2),0.402125,0.008483,0.4035,0.195702,0.6375,0.299472,0.485563,255,552,1048,145
Decision Tree,80:20,RandomUnderSampler (Fold 3),0.501875,0.031835,0.5415,0.192628,0.405,0.26108,0.493742,162,921,679,238
Decision Tree,80:20,NearMiss (Fold 4),0.555625,0.014727,0.5655,0.20354,0.4025,0.270361,0.508203,161,970,630,239
Decision Tree,80:20,SMOTE (Fold 5),0.7105,0.032335,0.7305,0.223108,0.14,0.172043,0.508695,56,1405,195,344
Decision Tree,80:20,SMOTETomek (Fold 2),0.71425,0.031411,0.736,0.219298,0.125,0.159236,0.485983,50,1422,178,350
Decision Tree,80:20,ADASYN (Fold 3),0.728625,0.012781,0.738,0.193069,0.0975,0.129568,0.492916,39,1437,163,361
Decision Tree,80:20,ADASYN + Tomek (Fold 3),0.732125,0.011757,0.738,0.193069,0.0975,0.129568,0.492916,39,1437,163,361
Decision Tree,80:20,Borderline-2 + Tomek (Fold 4),0.716625,0.010455,0.744,0.202128,0.095,0.129252,0.484012,38,1450,150,362
Decision Tree,80:20,Baseline (Fold 4),0.762875,0.00895,0.775,0.162162,0.03,0.050633,0.491369,12,1538,62,388
Decision Tree,90:10,ClusterCentroids (Fold 3),0.267111,0.008069,0.28,0.197674,0.85,0.320755,0.482737,170,110,690,30
Decision Tree,90:10,SMOTEENN (Fold 1),0.407889,0.020945,0.401,0.185827,0.59,0.282635,0.483166,118,283,517,82
Decision Tree,90:10,RandomUnderSampler (Fold 4),0.485667,0.071364,0.54,0.179803,0.365,0.240924,0.478841,73,467,333,127
Decision Tree,90:10,NearMiss (Fold 4),0.544778,0.020241,0.539,0.176179,0.355,0.235489,0.489234,71,468,332,129
Decision Tree,90:10,ADASYN (Fold 3),0.732556,0.012994,0.757,0.273684,0.13,0.176271,0.550034,26,731,69,174
Decision Tree,90:10,ADASYN + Tomek (Fold 3),0.732333,0.013121,0.76,0.267442,0.115,0.160839,0.533484,23,737,63,177
Decision Tree,90:10,SMOTETomek (Fold 5),0.729111,0.013943,0.758,0.216216,0.08,0.116788,0.534106,16,742,58,184
Decision Tree,90:10,SMOTE (Fold 5),0.737333,0.008885,0.756,0.202703,0.075,0.109489,0.533369,15,741,59,185
Decision Tree,90:10,Borderline-2 + Tomek (Fold 2),0.728444,0.018907,0.754,0.197368,0.075,0.108696,0.491531,15,739,61,185
Decision Tree,90:10,Baseline (Fold 1),0.770222,0.007719,0.788,0.342105,0.065,0.109244,0.513794,13,775,25,187
DNN,80:20,SMOTEENN (Fold 1),0.20125,0.00163,0.2005,0.199197,0.9925,0.331801,0.498251,397,4,1596,3
DNN,80:20,ADASYN (Fold 5),0.524875,0.055497,0.536,0.189412,0.4025,0.2576,0.481106,161,911,689,239
DNN,80:20,Borderline-2 + Tomek (Fold 4),0.483375,0.071248,0.568,0.197917,0.38,0.260274,0.494212,152,984,616,248
DNN,80:20,ADASYN + Tomek (Fold 5),0.531,0.063698,0.577,0.198649,0.3675,0.257895,0.509592,147,1007,593,253
DNN,80:20,SMOTE (Fold 5),0.471,0.097273,0.5985,0.197901,0.33,0.247423,0.498959,132,1065,535,268
DNN,80:20,SMOTETomek (Fold 1),0.536125,0.053723,0.5905,0.183056,0.3025,0.228087,0.486936,121,1060,540,279
DNN,80:20,ClusterCentroids (Fold 4),0.724875,0.033439,0.7715,0.25641,0.075,0.116054,0.494156,30,1513,87,370
DNN,80:20,NearMiss (Fold 4),0.678375,0.093511,0.7635,0.193277,0.0575,0.088632,0.534262,23,1504,96,377
DNN,80:20,RandomUnderSampler (Fold 1),0.598625,0.152645,0.7585,0.151261,0.045,0.069364,0.475643,18,1499,101,382
DNN,80:20,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.46865,0,1600,0,400
DNN,90:10,SMOTEENN (Fold 5),0.207333,0.013848,0.246,0.201509,0.935,0.33156,0.489087,187,59,741,13
DNN,90:10,SMOTETomek (Fold 5),0.521778,0.070851,0.613,0.208723,0.335,0.257198,0.487025,67,546,254,133
DNN,90:10,ADASYN (Fold 3),0.472444,0.066691,0.574,0.182584,0.325,0.233813,0.488625,65,509,291,135
DNN,90:10,ADASYN + Tomek (Fold 4),0.485444,0.050432,0.546,0.169271,0.325,0.222603,0.445456,65,481,319,135
DNN,90:10,Borderline-2 + Tomek (Fold 3),0.55,0.033465,0.563,0.168067,0.3,0.21544,0.467944,60,503,297,140
DNN,90:10,SMOTE (Fold 1),0.529444,0.086239,0.638,0.208633,0.29,0.242678,0.508038,58,580,220,142
DNN,90:10,ClusterCentroids (Fold 2),0.612444,0.077177,0.723,0.254777,0.2,0.22409,0.549731,40,683,117,160
DNN,90:10,NearMiss (Fold 2),0.589778,0.08591,0.718,0.226667,0.17,0.194286,0.543944,34,684,116,166
DNN,90:10,RandomUnderSampler (Fold 3),0.518333,0.10891,0.724,0.198413,0.125,0.153374,0.511563,25,699,101,175
DNN,90:10,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.515506,0,800,0,200
Logistic Regression,80:20,SMOTEENN (Fold 1),0.2,0.0,0.2,0.2,1.0,0.333333,0.470545,400,0,1600,0
Logistic Regression,80:20,NearMiss (Fold 5),0.5015,0.018117,0.508,0.20082,0.49,0.284884,0.500577,196,820,780,204
Logistic Regression,80:20,ADASYN (Fold 2),0.504625,0.009028,0.5015,0.190031,0.4575,0.268525,0.465545,183,820,780,217
Logistic Regression,80:20,ADASYN + Tomek (Fold 4),0.50575,0.009112,0.503,0.189331,0.4525,0.266962,0.476127,181,825,775,219
Logistic Regression,80:20,RandomUnderSampler (Fold 2),0.5035,0.007144,0.508,0.189362,0.445,0.265672,0.476484,178,838,762,222
Logistic Regression,80:20,SMOTE (Fold 4),0.517,0.007577,0.5165,0.191513,0.44,0.266869,0.468538,176,857,743,224
Logistic Regression,80:20,SMOTETomek (Fold 4),0.516375,0.007196,0.516,0.189278,0.4325,0.263318,0.468819,173,859,741,227
Logistic Regression,80:20,ClusterCentroids (Fold 5),0.51425,0.01286,0.5035,0.179459,0.415,0.250566,0.464481,166,841,759,234
Logistic Regression,80:20,Borderline-2 + Tomek (Fold 5),0.53775,0.013197,0.5185,0.1812,0.4,0.249415,0.465955,160,877,723,240
Logistic Regression,80:20,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.469383,0,1600,0,400
Logistic Regression,90:10,SMOTEENN (Fold 1),0.2,0.0,0.2,0.2,1.0,0.333333,0.499131,200,0,800,0
Logistic Regression,90:10,NearMiss (Fold 5),0.495111,0.009084,0.52,0.211934,0.515,0.300292,0.516106,103,417,383,97
Logistic Regression,90:10,ADASYN (Fold 2),0.490111,0.010149,0.517,0.197002,0.46,0.275862,0.492506,92,425,375,108
Logistic Regression,90:10,ADASYN + Tomek (Fold 2),0.491333,0.01089,0.519,0.197849,0.46,0.276692,0.493125,92,427,373,108
Logistic Regression,90:10,RandomUnderSampler (Fold 3),0.496333,0.008858,0.485,0.181818,0.45,0.258993,0.465731,90,395,405,110
Logistic Regression,90:10,Borderline-2 + Tomek (Fold 1),0.526556,0.00986,0.541,0.203661,0.445,0.279435,0.504319,89,452,348,111
Logistic Regression,90:10,SMOTE (Fold 3),0.511778,0.009145,0.498,0.182773,0.435,0.257396,0.462625,87,411,389,113
Logistic Regression,90:10,SMOTETomek (Fold 3),0.511556,0.009625,0.498,0.182773,0.435,0.257396,0.463069,87,411,389,113
Logistic Regression,90:10,ClusterCentroids (Fold 2),0.507556,0.005639,0.519,0.18847,0.425,0.261137,0.492756,85,434,366,115
Logistic Regression,90:10,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.515025,0,800,0,200
Random Forest,80:20,None (Baseline),0.799875,0.00025,0.8,0.0,0.0,0.0,0.487355,0,1600,0,400
Random Forest,80:20,SMOTE (Fold 3),0.796625,0.001287,0.7965,0.230769,0.0075,0.014528,0.501978,3,1590,10,397
Random Forest,80:20,ADASYN (Fold 5),0.795875,0.002784,0.796,0.214286,0.0075,0.014493,0.50379,3,1589,11,397
Random Forest,80:20,RandomUnderSampler (Fold 3),0.51525,0.01044,0.5015,0.19195,0.465,0.271731,0.482758,186,817,783,214
Random Forest,80:20,SMOTETomek,0.79675,0.00225,0.7965,0.0,0.0,0.0,0.51917,0,1593,7,400
Random Forest,80:20,SMOTEENN,0.4785,0.01047,0.466,0.191312,0.5175,0.279352,0.475305,207,725,875,193
Random Forest,80:20,NearMiss (Fold 5),0.38725,0.006944,0.383,0.2,0.695,0.310615,0.51755,278,488,1112,122
Random Forest,80:20,ClusterCentroids,0.92125,0.009302,0.1995,0.1996,0.9975,0.332639,0.486552,399,0,1600,1
Random Forest,80:20,ADASYN+Tomek,0.892754,0.00318,0.7965,0.111111,0.0025,0.00489,0.501802,1,1592,8,399
Random Forest,80:20,BorderlineSMOTE+Tomek,0.923487,0.005882,0.799,0.333333,0.005,0.009852,0.501048,2,1596,4,398
Random Forest,90:10,None (Baseline),0.800111,0.000222,0.8,0.0,0.0,0.0,0.519191,0,800,0,200
Random Forest,90:10,SMOTE (Fold 2),0.796444,0.000567,0.801,0.6,0.015,0.029268,0.514147,3,798,2,197
Random Forest,90:10,ADASYN (Fold 2),0.796667,0.000609,0.799,0.4,0.01,0.019512,0.538775,2,797,3,198
Random Forest,90:10,RandomUnderSampler (Fold 4),0.502111,0.005322,0.512,0.194915,0.46,0.27381,0.490856,92,420,380,108
Random Forest,90:10,SMOTETomek,0.796222,0.000889,0.799,0.0,0.0,0.0,0.524687,0,799,1,200
Random Forest,90:10,SMOTEENN,0.485667,0.01268,0.493,0.213084,0.57,0.310204,0.504366,114,379,421,86
Random Forest,90:10,NearMiss (Fold 1),0.380444,0.005368,0.416,0.22093,0.76,0.342342,0.536363,152,264,536,48
Random Forest,90:10,ClusterCentroids,0.926389,0.008696,0.199,0.199199,0.995,0.331943,0.4939,199,0,800,1
Random Forest,90:10,ADASYN+Tomek,0.89242,0.004451,0.796,0.0,0.0,0.0,0.525322,0,796,4,200
Random Forest,90:10,BorderlineSMOTE+Tomek,0.917179,0.005132,0.8,0.0,0.0,0.0,0.52915,0,800,0,200
ResNet,80:20,SMOTEENN (Fold 1),0.249125,0.059573,0.364,0.205007,0.7575,0.322684,0.485,303,425,1175,97
ResNet,80:20,ClusterCentroids (Fold 3),0.487875,0.038047,0.5635,0.210526,0.43,0.282662,0.515031,172,955,645,228
ResNet,80:20,NearMiss (Fold 2),0.495625,0.031652,0.539,0.18705,0.39,0.252836,0.47803,156,922,678,244
ResNet,80:20,RandomUnderSampler (Fold 3),0.524,0.034615,0.575,0.190083,0.345,0.245115,0.506259,138,1012,588,262
ResNet,80:20,Borderline2 + Tomek (Fold 5),0.622,0.017086,0.6335,0.191095,0.2575,0.219382,0.494013,103,1164,436,297
ResNet,80:20,ADASYN + Tomek (Fold 1),0.64075,0.012301,0.6205,0.175407,0.2425,0.203568,0.467056,97,1144,456,303
ResNet,80:20,SMOTE (Fold 5),0.668875,0.024256,0.6835,0.209476,0.21,0.209738,0.526431,84,1283,317,316
ResNet,80:20,SMOTETomek (Fold 3),0.655125,0.023909,0.678,0.195,0.195,0.195,0.500044,78,1278,322,322
ResNet,80:20,ADASYN (Fold 1),0.628625,0.033289,0.659,0.156098,0.16,0.158025,0.446081,64,1254,346,336
ResNet,80:20,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.500505,0,1600,0,400
ResNet,90:10,SMOTEENN (Fold 4),0.318333,0.012187,0.332,0.203797,0.805,0.325253,0.504581,161,171,629,39
ResNet,90:10,ClusterCentroids (Fold 2),0.384111,0.047358,0.433,0.177504,0.505,0.262679,0.460363,101,332,468,99
ResNet,90:10,NearMiss (Fold 5),0.488444,0.041071,0.559,0.203931,0.415,0.273476,0.503138,83,476,324,117
ResNet,90:10,RandomUnderSampler (Fold 5),0.584111,0.030306,0.614,0.194079,0.295,0.234127,0.475819,59,555,245,141
ResNet,90:10,SMOTE (Fold 5),0.652889,0.007992,0.641,0.195402,0.255,0.221258,0.496887,51,590,210,149
ResNet,90:10,ADASYN (Fold 2),0.643444,0.006951,0.638,0.188462,0.245,0.213043,0.492481,49,589,211,151
ResNet,90:10,SMOTETomek (Fold 3),0.640111,0.009437,0.663,0.208511,0.245,0.225287,0.505944,49,614,186,151
ResNet,90:10,Borderline2 + Tomek (Fold 4),0.619333,0.019217,0.647,0.195219,0.245,0.217295,0.500494,49,598,202,151
ResNet,90:10,ADASYN + Tomek (Fold 3),0.637333,0.027974,0.656,0.178571,0.2,0.188679,0.470513,40,616,184,160
ResNet,90:10,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.510294,0,800,0,200
TabNet,80:20,None (Baseline),0.73825,0.077029,0.8,0.0,0.0,0.0,0.514595,,,,
TabNet,80:20,SMOTE,0.595375,0.025145,0.614,0.213846,0.3475,0.264762,0.517798,,,,
TabNet,80:20,ADASYN,0.649125,0.027342,0.6555,0.178174,0.2,0.188457,0.493102,,,,
TabNet,80:20,RandomUnderSampler,0.408375,0.027641,0.428,0.200483,0.6225,0.303289,0.50905,,,,
TabNet,80:20,SMOTETomek,0.633375,0.0194,0.612,0.199681,0.3125,0.243665,0.512877,,,,
TabNet,80:20,SMOTEENN,0.336375,0.052031,0.4095,0.203042,0.6675,0.31137,0.502912,,,,
TabNet,80:20,NearMiss,0.356375,0.035396,0.3725,0.203331,0.7325,0.318305,0.521912,,,,
TabNet,80:20,ClusterCentroids,0.310625,0.045273,0.3635,0.204868,0.7575,0.322512,0.505943,,,,
TabNet,80:20,ADASYN+Tomek,0.636375,0.056443,0.6695,0.162791,0.1575,0.160102,0.471368,,,,
TabNet,80:20,Borderline+Tomek,0.617625,0.098982,0.7545,0.097345,0.0275,0.042885,0.469625,,,,
TabNet,90:10,None (Baseline),0.784333,0.029956,0.8,0.0,0.0,0.0,0.5058,,,,
TabNet,90:10,SMOTE,0.718111,0.042985,0.772,0.208333,0.05,0.080645,0.510725,,,,
TabNet,90:10,ADASYN,0.625222,0.059569,0.681,0.215311,0.225,0.220049,0.511044,,,,
TabNet,90:10,RandomUnderSampler,0.467,0.059796,0.514,0.18913,0.435,0.263636,0.501194,,,,
TabNet,90:10,SMOTETomek,0.590333,0.006311,0.575,0.183099,0.325,0.234234,0.497181,,,,
TabNet,90:10,SMOTEENN,0.304222,0.03155,0.34,0.200521,0.77,0.318182,0.502694,,,,
TabNet,90:10,NearMiss,0.441889,0.051297,0.512,0.193617,0.455,0.271642,0.515688,,,,
TabNet,90:10,ClusterCentroids,0.327333,0.068309,0.406,0.203313,0.675,0.3125,0.519497,,,,
TabNet,90:10,ADASYN+Tomek,0.550556,0.133882,0.696,0.217391,0.2,0.208333,0.491006,,,,
TabNet,90:10,Borderline+Tomek,0.532333,0.062414,0.632,0.171875,0.22,0.192982,0.473156,,,,
XGBoost,80:20,None (Baseline),0.799125,0.001403,0.7995,0.333333,0.0025,0.004963,0.471533,,,,
XGBoost,80:20,SMOTE,0.7965,0.001879,0.798,0.166667,0.0025,0.004926,0.495327,,,,
XGBoost,80:20,ADASYN,0.797375,0.000729,0.796,0.0,0.0,0.0,0.488909,,,,
XGBoost,80:20,RandomUnderSampler,0.494375,0.022354,0.4985,0.192661,0.4725,0.273715,0.494325,,,,
XGBoost,80:20,SMOTETomek,0.798,0.0015,0.7965,0.230769,0.0075,0.014528,0.483523,,,,
XGBoost,80:20,SMOTEENN,0.5245,0.013178,0.522,0.194505,0.4425,0.270229,0.504834,,,,
XGBoost,80:20,NearMiss,0.390875,0.008203,0.391,0.199265,0.6775,0.307955,0.508578,,,,
XGBoost,80:20,ADASYN+Tomek,0.797875,0.000306,0.7985,0.285714,0.005,0.009828,0.481339,,,,
XGBoost,80:20,Borderline+Tomek,0.795125,0.001992,0.7955,0.0,0.0,0.0,0.480972,,,,
XGBoost,90:10,None (Baseline),0.797778,0.001315,0.799,0.0,0.0,0.0,0.488262,,,,
XGBoost,90:10,SMOTE,0.798889,0.000994,0.8,0.0,0.0,0.0,0.527756,,,,
XGBoost,90:10,ADASYN,0.799111,0.000667,0.802,1.0,0.01,0.019802,0.510231,,,,
XGBoost,90:10,RandomUnderSampler,0.494556,0.005204,0.51,0.213439,0.54,0.305949,0.520719,,,,
XGBoost,90:10,SMOTETomek,0.797778,0.001267,0.797,0.0,0.0,0.0,0.5241,,,,
XGBoost,90:10,SMOTEENN,0.537,0.005748,0.525,0.200436,0.46,0.279211,0.505656,,,,
XGBoost,90:10,NearMiss,0.383,0.002713,0.401,0.21045,0.725,0.326209,0.549406,,,,
XGBoost,90:10,ADASYN+Tomek,0.799444,0.001267,0.799,0.0,0.0,0.0,0.4939,,,,
XGBoost,90:10,Borderline+Tomek,0.795,0.002383,0.797,0.2,0.005,0.009756,0.510306,,,,
MLP,80:20,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.475529,,,,
MLP,80:20,SMOTE,0.502,0.1316,0.663,0.206009,0.24,0.221709,0.511381,,,,
MLP,80:20,ADASYN,0.483375,0.106897,0.6235,0.188713,0.2675,0.221303,0.498242,,,,
MLP,80:20,RandomUnderSampler,0.645125,0.118472,0.784,0.136364,0.015,0.027027,0.506255,,,,
MLP,80:20,SMOTETomek,0.60075,0.03595,0.6245,0.192644,0.275,0.226571,0.487359,,,,
MLP,80:20,SMOTEENN,0.23175,0.036093,0.2905,0.199764,0.8475,0.323319,0.474303,,,,
MLP,80:20,NearMiss,0.728438,0.019995,0.798,0.25,0.005,0.009804,0.49747,,,,
MLP,80:20,ClusterCentroids,0.690625,0.01934,0.7965,0.181818,0.005,0.009732,0.503467,,,,
MLP,80:20,ADASYN+Tomek,0.518625,0.092159,0.68,0.190722,0.185,0.187817,0.504014,,,,
MLP,80:20,Borderline+Tomek,0.520125,0.080068,0.6785,0.218097,0.235,0.226233,0.51128,,,,
MLP,90:10,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.506975,,,,
MLP,90:10,SMOTE,0.563556,0.090173,0.639,0.205128,0.28,0.236786,0.503644,,,,
MLP,90:10,ADASYN,0.501333,0.081766,0.655,0.220077,0.285,0.248366,0.529475,,,,
MLP,90:10,RandomUnderSampler,0.551,0.098866,0.683,0.227907,0.245,0.236145,0.494938,,,,
MLP,90:10,SMOTETomek,0.566,0.087588,0.627,0.212625,0.32,0.255489,0.503188,,,,
MLP,90:10,SMOTEENN,0.200444,0.000648,0.202,0.199799,0.995,0.332776,0.463763,,,,
MLP,90:10,NearMiss,0.732222,0.010297,0.8,0.0,0.0,0.0,0.5158,,,,
MLP,90:10,ClusterCentroids,0.673611,0.034032,0.781,0.172414,0.025,0.043668,0.440756,,,,
MLP,90:10,ADASYN+Tomek,0.480667,0.112422,0.683,0.235294,0.26,0.247031,0.523344,,,,
MLP,90:10,Borderline+Tomek,0.487667,0.097175,0.658,0.165094,0.175,0.169903,0.466762,,,,
